out_channels,iteration,rel_norms
16,23,"[0, 2.4879365234653505e-10, 4.802403474890582e-10, 8.705531295838398e-10, 1.182900555285471e-09, 1.622899592490512e-09, 2.3113575498001637e-09, 2.7212696540601655e-09, 3.315505869849744e-09, 3.643372048500737e-09, 4.317606716597311e-09]"
16,24,"[0, 3.7040967515444834e-10, 1.1481265937973717e-09, 2.1441546316225413e-09, 3.777499202328727e-09, 5.783217460475498e-09, 8.243377536132357e-09, 1.0977824871361008e-08, 1.4849690366247614e-08, 1.8721685535183497e-08, 2.259838716156537e-08]"
16,25,"[0, 8.486847891120419e-10, 2.536275411912925e-09, 4.9763073661779345e-09, 8.698204823076594e-09, 1.311883757182386e-08, 1.861730147822982e-08, 2.5713802642712835e-08, 3.3859812731407146e-08, 4.2214225004499895e-08, 5.225356503046896e-08]"
16,26,"[0, 1.5614355364235166e-09, 2.3708222052221117e-09, 3.5994223157587157e-09, 4.848392354261932e-09, 5.987743634250364e-09, 8.495751657733308e-09, 9.398487321732318e-09, 1.1012081024830422e-08, 1.4043251006512492e-08, 1.7202012259076582e-08]"
16,27,"[0, 3.7625194626578207e-10, 1.4028134209809195e-09, 2.89908475004097e-09, 5.340168751644114e-09, 8.645076654545392e-09, 1.2400159121739307e-08, 1.666273341527358e-08, 2.1576445519144727e-08, 2.696534195933964e-08, 3.333489928536437e-08]"
16,28,"[0, 1.3184414671130185e-09, 5.091512988997238e-09, 1.0582382081736341e-08, 1.8837468473975605e-08, 2.8514836714066405e-08, 4.111854323696207e-08, 5.5631559803259734e-08, 7.256512191133879e-08, 9.151429480880324e-08, 1.1193542093224096e-07]"
16,29,"[0, 7.543392577247232e-10, 2.579580327122244e-09, 5.598191687994358e-09, 9.682726620496851e-09, 1.4763492650615717e-08, 2.1572652997292607e-08, 2.8817236596978546e-08, 3.7572085886949935e-08, 4.7844046946465824e-08, 5.8530417845759075e-08]"
16,30,"[0, 1.4356432709305977e-09, 5.781814707006561e-07, 2.101061454595765e-06, 2.1122680209373357e-06, 2.1260530047584325e-06, 2.1404998733487446e-06, 2.1592397843051003e-06, 2.1810510588693433e-06, 2.2037572762201307e-06, 2.23233291762881e-06]"
16,31,"[0, 1.2124234949340007e-10, 3.7073874525894723e-10, 7.454962758224326e-10, 1.1600284066659583e-09, 1.7152900211314659e-09, 2.359305417698465e-09, 3.3369595975329958e-09, 4.238517536947484e-09, 5.343880005170831e-09, 6.310178157775681e-09]"
16,32,"[0, 2.8159860554488603e-10, 1.0903842273535247e-09, 2.624246690174914e-06, 4.995608833269216e-06, 4.9975019464909565e-06, 4.999029897589935e-06, 4.998652457288699e-06, 4.997711130272364e-06, 4.998736130801262e-06, 5.0017874855257105e-06]"
16,33,"[0, 2.5162183447946518e-09, 8.603808332452445e-09, 1.648475134174987e-08, 3.0353987767739454e-08, 4.586875945733482e-08, 6.522578388512557e-08, 8.647461413602286e-08, 1.1160741308913202e-07, 1.3839141388416465e-07, 1.6795301860383915e-07]"
16,34,"[0, 1.8475887486602005e-09, 7.815341263039954e-09, 1.73095315858518e-08, 3.004002024908914e-08, 4.641351480927369e-08, 6.708252442422236e-08, 9.173908210868831e-08, 1.2554880868265172e-07, 1.5770308436913183e-07, 1.919070626854591e-07]"
16,35,"[0, 1.424720785792033e-09, 7.093075460318232e-09, 1.2637378254964915e-08, 2.2330358007138784e-08, 3.2940107530521345e-08, 4.50354633585448e-08, 5.9116924688851213e-08, 9.51319179876009e-07, 9.66634274846001e-07, 9.86645773082273e-07]"
16,36,"[0, 1.8434362369923463e-10, 6.434257016074696e-10, 1.6660369750454151e-09, 3.879454197885934e-06, 3.880041276715929e-06, 3.882251348841237e-06, 3.882626515405718e-06, 3.8847924770379905e-06, 3.885522801283514e-06, 3.8876960388734005e-06]"
16,37,"[0, 5.651816792351383e-10, 2.085644768001771e-09, 4.438346579149766e-09, 7.78392728051358e-09, 5.3546123126579914e-06, 5.3624621614289936e-06, 1.1449003068264574e-05, 1.145717851613881e-05, 1.1468331649666652e-05, 1.1480210559966508e-05]"
16,38,"[0, 6.437816391091644e-10, 1.3632195372537126e-09, 2.3246369273977052e-09, 2.9742428520052044e-09, 3.5468927794823912e-09, 4.3781152037070115e-09, 5.418703707960049e-09, 7.68995001010353e-09, 8.845987053973658e-09, 1.0637078773356734e-08]"
16,39,"[0, 4.612693338401641e-09, 1.802535010142492e-08, 4.074374260198965e-08, 1.1982548642208712e-07, 1.591801321865205e-07, 2.0339388129286817e-07, 2.587572396350879e-07, 3.1727847726870095e-07, 3.8342258790180495e-07, 4.581615939969197e-07]"
16,40,"[0, 8.260670480986221e-10, 2.541917343279465e-09, 4.782038764972185e-09, 7.692448455998147e-09, 1.126378368354608e-08, 1.6279843251254533e-08, 2.251124975316543e-08, 3.06059106947032e-08, 3.881215704382157e-08, 4.728401137299443e-08]"
16,41,"[0, 2.842081681109221e-09, 1.2056441178742716e-08, 2.5497884692526895e-08, 4.433766420675056e-08, 6.990599388245755e-08, 1.0131273597835389e-07, 1.3604545756606967e-07, 1.7706088328850456e-07, 2.268140519845474e-07, 2.785157562357199e-07]"
16,42,"[0, 9.438435588648986e-10, 2.3488526679216193e-09, 4.9310768801547056e-09, 7.592639406084345e-09, 1.1006213718189883e-08, 1.5275388065560946e-08, 2.1403534944397506e-08, 2.8057284495730528e-08, 3.5437967227380796e-08, 4.3745103539549746e-08]"
16,43,"[0, 1.5873835579327533e-09, 4.350769522432074e-09, 1.0317017462568856e-08, 1.8264865175865452e-08, 2.7606557040371626e-08, 3.853812913234833e-08, 5.082078757823183e-08, 6.405018382338312e-08, 8.157191189184232e-08, 9.839289560886755e-08]"
16,44,"[0, 4.722508495369482e-10, 9.844636217337666e-10, 3.379757572474773e-06, 3.3793551210692385e-06, 3.3798958156694425e-06, 3.378990186320152e-06, 3.3784767765610013e-06, 3.379445615792065e-06, 5.503223746927688e-06, 5.505194167199079e-06]"
16,45,"[0, 5.587279527929923e-10, 1.485637945997098e-09, 3.7034690869575115e-09, 5.010310832886944e-09, 6.777376881927921e-09, 1.0066857569768217e-08, 1.2246354152978256e-08, 1.6300027994020638e-08, 2.2909965480266692e-08, 2.5431386774243947e-08]"
16,46,"[0, 8.093419684440661e-11, 1.6324952500923473e-10, 2.4889185157306315e-10, 4.4047915315204023e-10, 6.458459878011524e-10, 8.397196271658913e-10, 1.2221208489648916e-09, 6.820098406024044e-06, 6.819453574280487e-06, 6.819362170062959e-06]"
16,47,"[0, 2.3461870224394943e-09, 1.0237192327622324e-05, 1.0254716471536085e-05, 2.453475826769136e-05, 2.4566965294070542e-05, 2.4609915271867067e-05, 4.654613803722896e-05, 4.6599892812082544e-05, 4.667114990297705e-05, 4.6732449845876545e-05]"
16,48,"[0, 4.2141673484152875e-10, 1.5661165697622437e-09, 3.4085982925091685e-09, 3.4227721812385425e-07, 3.457210482338269e-07, 3.5035091627833026e-07, 3.558083108146093e-07, 3.6152223970020714e-07, 3.683293527956266e-07, 3.7561662225016335e-07]"
16,49,"[0, 6.369679783624349e-11, 1.9251246430318503e-10, 3.089732081296148e-10, 4.2128817101527716e-10, 5.41538369702721e-10, 7.321950823424572e-10, 1.0153466956097645e-09, 1.293045337469323e-09, 1.481776146228242e-09, 1.7690311437945638e-09]"
32,0,"[0, 7.180128713812906e-10, 6.479357606004044e-10, 9.874059347936281e-10, 1.8018457836888047e-09, 3.1610034589846236e-09, 4.487997529167842e-09, 8.142984952996812e-09, 3.427193462357536e-08, 3.8528554568983964e-08, 4.317100277262398e-08]"
32,1,"[0, 3.4764549572408043e-10, 1.173375063778792e-09, 2.3012940442157515e-09, 7.376159683047945e-09, 8.607588419806689e-09, 1.2120324299758067e-08, 1.668482063621468e-08, 1.9783715998755724e-08, 2.0746686146821958e-08, 2.663299270011521e-08]"
32,2,"[0, 1.5481895765390163e-09, 5.42201705755474e-09, 1.3349662708606047e-08, 1.9661477779209235e-08, 3.441408225057785e-08, 1.8357599174123607e-06, 1.8553332665760536e-06, 1.8639372001416632e-06, 1.8833184185496066e-06, 1.9192955278413137e-06]"
32,3,"[0, 5.026561389342987e-10, 3.2237866776085866e-07, 8.06685193310841e-07, 8.067112275966792e-07, 8.073783419604297e-07, 5.234383934293874e-06, 5.236830475041643e-06, 5.243257874099072e-06, 5.250195954431547e-06, 5.260610123514198e-06]"
32,4,"[0, 1.5447471080065611e-09, 1.1054963167111964e-08, 1.2395887871718969e-08, 1.6370403699283997e-08, 1.943764260659009e-08, 2.6014754794800865e-08, 3.195216535800682e-08, 3.731834041786897e-08, 4.5247460889186186e-08, 7.57334760237427e-07]"
32,5,"[0, 2.0106044607004492e-10, 6.913594696733583e-10, 6.854410230516805e-07, 6.859689278826409e-07, 6.87002909671719e-07, 6.865964792268642e-07, 2.3238349058374297e-06, 2.32333741223556e-06, 2.3236798369907774e-06, 2.323831949979649e-06]"
32,6,"[0, 7.9675094299958e-10, 3.0673596995711705e-09, 4.211040504742414e-06, 4.217082278046291e-06, 4.226718829158926e-06, 4.233153958921321e-06, 5.1951442401332315e-06, 6.309116088232258e-06, 6.326816219370812e-06, 6.347702310449677e-06]"
32,7,"[0, 2.5829840488711397e-09, 5.125362356750429e-09, 8.394063399919105e-08, 8.36786071545248e-08, 8.726674138870294e-08, 9.319973770516299e-08, 1.0375415371299823e-07, 1.1024372525980652e-07, 2.7763881007558666e-06, 2.793924295474426e-06]"
32,8,"[0, 5.869972241612231e-08, 6.140246711083819e-08, 6.691013254567224e-08, 7.102300259020922e-08, 3.1429511437863766e-08, 5.8645778011623406e-08, 1.4436473350087908e-07, 1.772056208437789e-07, 7.30177362129325e-07, 1.6442739934063866e-06]"
32,9,"[0, 1.3898979887017049e-05, 1.3903753824706655e-05, 1.4250302911023027e-06, 1.3914315786678344e-05, 1.3918134754931089e-05, 1.391757086821599e-05, 1.4374813872564118e-05, 1.4376539184013382e-05, 1.4382286281033885e-05, 1.438141680409899e-05]"
32,10,"[0, 4.010248799701799e-10, 1.3410472732289236e-09, 3.9435552601219115e-09, 7.011792035882536e-07, 7.09677465238201e-07, 1.5142395568545908e-06, 1.5132820863072993e-06, 2.320470457561896e-06, 2.3273796614375897e-06, 2.3338541268458357e-06]"
32,11,"[0, 4.30236707371634e-10, 3.374819712576027e-08, 5.530547042553735e-08, 6.12891284390571e-08, 6.947141883983932e-08, 8.13284657397162e-08, 1.2033878249440022e-07, 1.4152543315049115e-07, 1.644194185246306e-07, 2.1740271449743886e-07]"
32,12,"[0, 1.1663573440401365e-09, 7.508709209957942e-09, 1.0036436606242205e-06, 1.0172182101086946e-06, 1.0239230050501646e-06, 1.0516910151636694e-06, 1.0937798151644529e-06, 1.1236055570407188e-06, 1.8620709170136251e-06, 1.9004756950380397e-06]"
32,13,"[0, 3.9172487475980233e-10, 2.4624608840895235e-07, 2.5098367473219696e-07, 2.5450103180446604e-07, 2.559474125973793e-07, 2.608316549412848e-07, 2.7146273851030855e-07, 2.8925146011715697e-07, 2.956181504032429e-07, 3.039942555460584e-07]"
32,14,"[0, 3.240822610273142e-10, 2.3114152813974442e-09, 3.778884316574249e-09, 6.584697676004225e-09, 8.836820164503933e-09, 1.8565078363508292e-08, 2.3799296755555588e-08, 4.0134690237891846e-08, 4.291674571277326e-08, 6.665609220135593e-08]"
32,15,"[0, 8.055610623003417e-10, 8.075727864209625e-10, 1.7033293664425742e-09, 2.8284965480906976e-09, 2.8074063074257083e-09, 3.277675242330247e-09, 5.173274253422733e-09, 8.11298672687144e-09, 1.0628682822755309e-08, 1.541505945112931e-08]"
32,16,"[0, 1.8854821064451244e-06, 1.911399749587872e-06, 2.041316065515275e-06, 2.340484115848085e-06, 2.4190098883991595e-06, 7.890253982623108e-06, 6.50373522148584e-06, 8.142607839545235e-06, 8.385733053728472e-06, 8.554959094908554e-06]"
32,17,"[0, 1.8869023961087805e-06, 2.181005356760579e-06, 2.18511490857054e-06, 2.191924295402714e-06, 2.1986791125527816e-06, 2.2093968254921492e-06, 2.2199840259418124e-06, 2.2275789888226427e-06, 2.2501221792481374e-06, 2.257964069940499e-06]"
32,18,"[0, 3.6921346535656596e-10, 1.6952639292355798e-09, 2.046337765904127e-09, 5.3403219624215126e-09, 7.612661612199645e-09, 6.921349715582892e-09, 8.290856889914267e-09, 1.1232278218642477e-08, 3.1986789394977677e-07, 3.2676314276613994e-07]"
32,19,"[0, 7.147733516177368e-10, 4.003110376515906e-08, 4.1274905271393436e-08, 4.340879655728713e-08, 4.44101040386613e-08, 4.5554727989838284e-08, 4.9447901773191916e-08, 5.8124324908703784e-08, 6.252977868825838e-08, 7.554781689123047e-08]"
32,20,"[0, 4.4705568136294005e-09, 8.267820206242504e-09, 1.6393661539382265e-08, 2.2358340956429856e-08, 1.26453096527257e-06, 4.383137408581206e-08, 6.802173402320477e-08, 7.964498394130715e-08, 8.687965902254291e-08, 9.416866220135489e-08]"
32,21,"[0, 2.791614994723801e-10, 5.329132135578618e-10, 1.6828442994665238e-07, 1.0969780532832374e-06, 1.0996609489666298e-06, 1.1034356930395006e-06, 2.644488176883897e-06, 2.6551315386313945e-06, 2.6653206077753566e-06, 2.6708696623245487e-06]"
32,22,"[0, 4.807823583696802e-10, 1.9561969111236976e-07, 1.9592032174386986e-07, 1.9841391463160107e-07, 2.0294142188959086e-07, 7.936030499422486e-08, 8.322666644744459e-08, 8.849308841263337e-08, 1.0075331147163524e-07, 1.1020624413049518e-07]"
32,23,"[0, 1.1256723331243279e-10, 1.4717238538963784e-09, 2.5899600242240695e-09, 5.108124589980889e-09, 7.400690726910852e-09, 3.7860763768549077e-07, 3.8083263120824995e-07, 3.811016426880087e-07, 1.6100806305985316e-06, 1.6139042600116227e-06]"
32,24,"[0, 1.382425951490518e-09, 5.5421351952134046e-09, 1.6665535440552048e-07, 1.7509523786429781e-07, 1.7885524528082897e-07, 1.8814128566191357e-07, 9.231172271029209e-07, 9.295443987866747e-07, 9.620417813493987e-07, 9.776631486602128e-07]"
32,25,"[0, 2.9884006380598294e-10, 1.3055369008085904e-09, 4.913694784391964e-09, 9.628669417338642e-09, 1.4126796621383164e-08, 1.864505527748861e-08, 2.5505169531925276e-08, 2.6844170406548074e-06, 2.703537575143855e-06, 2.7159312594449148e-06]"
32,26,"[0, 3.9405578800000285e-10, 8.545117946567871e-10, 1.3428388401237612e-09, 1.4687359106702047e-09, 8.052467137531494e-08, 8.214459512601024e-08, 8.34020070783481e-08, 8.528657247097726e-08, 8.792749639496833e-08, 3.535771213591943e-07]"
32,27,"[0, 2.4518873598111668e-09, 1.110953284921834e-08, 3.4097350720685426e-08, 1.9218094848838518e-07, 7.527948042707067e-08, 6.69371593176038e-06, 6.711895821354119e-06, 7.340117917919997e-06, 8.089148764156562e-07, 7.551831913588103e-06]"
32,28,"[0, 3.0286731456108384e-10, 1.6424356319433286e-09, 5.307850159397276e-09, 2.3258360215550056e-07, 4.6693895683347364e-07, 4.7300574124164996e-07, 4.768967301060911e-07, 4.831447313335957e-07, 4.905799642074271e-07, 4.935548645335075e-07]"
32,29,"[0, 8.508431181830645e-10, 2.5319168983628515e-09, 9.671846434855524e-09, 2.1662788896037455e-08, 3.316750394333212e-07, 5.364684056985425e-07, 5.472043653753644e-07, 5.566338927565084e-07, 5.773860038971179e-07, 5.943745691183722e-07]"
32,30,"[0, 7.823046210830853e-09, 1.6034814365184502e-08, 1.4665091612187098e-06, 3.7099418932484696e-06, 5.866172159585403e-06, 7.550462214567233e-06, 5.9761932789115235e-06, 5.999781478749355e-06, 8.254996828327421e-06, 8.913667443266604e-06]"
32,31,"[0, 1.0170198017078746e-09, 3.011655147489023e-09, 5.224498611511308e-09, 6.162744536908349e-09, 1.1585747472508956e-08, 1.5003973174998464e-08, 2.4050025970723254e-08, 3.335027543016622e-08, 1.1576127008083859e-06, 1.1741122989405994e-06]"
32,32,"[0, 2.515909980349562e-10, 6.998462365181979e-10, 2.8122457695900493e-09, 3.746412513550013e-09, 3.5349765337144845e-09, 5.10477571324941e-09, 6.208223268799884e-09, 5.393233415418308e-09, 8.34605629052021e-09, 8.926435590694837e-09]"
32,33,"[0, 3.024991090949669e-10, 6.139652786174565e-09, 5.509396494574048e-09, 8.541115370519492e-09, 1.1009232636638444e-08, 1.3596800130244446e-08, 5.555041298066499e-07, 5.642385758619639e-07, 5.651699552799982e-07, 5.70106578834384e-07]"
32,34,"[0, 4.4598347237467806e-10, 8.442158638821695e-10, 1.7176345901148693e-09, 2.7748501452151686e-06, 2.7764012884290423e-06, 2.777511326712556e-06, 2.7838705136673525e-06, 2.7947819489781978e-06, 2.8016913802275667e-06, 3.884005309373606e-06]"
32,35,"[0, 1.7101727811663636e-09, 1.3427951195410515e-08, 2.1613383083263216e-08, 3.9767832049619756e-07, 4.185967839021032e-07, 4.25091769784558e-07, 4.6350308480214153e-07, 1.872541474767786e-06, 1.912898142109043e-06, 1.9489395981509006e-06]"
32,36,"[0, 6.397875118580032e-09, 6.473134703810501e-07, 6.12946067235498e-08, 1.0428000507545221e-07, 1.1834303847990668e-07, 1.5890535109974735e-07, 3.225517275495804e-06, 3.266568910476053e-06, 3.321354142826749e-06, 6.6576862991496455e-06]"
32,37,"[0, 5.493647203813623e-10, 2.0279797841027403e-09, 4.963581545780471e-09, 9.353236407605436e-09, 4.2644753506237976e-08, 4.653308849356108e-08, 5.3932943444578996e-08, 5.471021324865433e-08, 5.929621238465188e-08, 6.887689352197413e-08]"
32,38,"[0, 7.036797811110773e-10, 2.7108315592272447e-09, 3.9617373204237083e-07, 4.003063622803893e-07, 4.106515518742526e-07, 4.1639938785920094e-07, 4.276870697594859e-07, 4.37286644228152e-07, 4.5744334897790395e-07, 5.502917019839515e-07]"
32,39,"[0, 7.162370962987552e-08, 7.543067681581306e-08, 7.812880653546017e-08, 3.0721139410161413e-07, 3.0998066335996555e-07, 4.4890759909321787e-07, 4.612101065504248e-07, 4.751740334540955e-07, 4.852082611250808e-07, 4.994278697267873e-07]"
32,40,"[0, 7.753426416456932e-07, 7.824487511243206e-07, 7.871188927310868e-07, 7.859885045036208e-07, 7.931274126349308e-07, 2.6132627226616023e-06, 2.659964138729265e-06, 2.6716970751294866e-06, 2.690665041882312e-06, 2.705169436012511e-06]"
32,41,"[0, 3.350504873544935e-10, 1.0124051641469123e-07, 1.011077443990871e-07, 1.0177358689134053e-07, 1.0106178649493813e-07, 1.0080989909511118e-07, 1.001544873702187e-07, 1.009685135500149e-07, 1.0119124738139362e-07, 1.0164394126377374e-07]"
32,42,"[0, 2.329522130750661e-10, 1.3309957580531773e-08, 1.3480722316216998e-08, 1.3944666754639456e-08, 1.4161388506295225e-08, 1.4322241170816596e-08, 1.513854108736723e-08, 1.5599923131048854e-08, 3.0126441288302885e-06, 3.0132862320897402e-06]"
32,43,"[0, 2.633757434367112e-09, 2.3286620489670895e-06, 2.2855751069528196e-08, 8.389637429218055e-08, 2.4189430405385792e-06, 2.4245327949756756e-06, 2.4509461127308896e-06, 2.4821435999911046e-06, 2.5255244509025943e-06, 2.577736495368299e-06]"
32,44,"[0, 1.393883786171557e-09, 3.2696263474463194e-07, 3.3149856903946784e-07, 3.3511955166432017e-07, 3.417246148273989e-07, 3.55998537315827e-07, 3.6823806226493616e-07, 3.7710643141508626e-07, 3.8474749430861266e-07, 4.047957418151782e-07]"
32,45,"[0, 3.2580024789119477e-10, 1.7738948088208417e-09, 7.644875950063579e-07, 7.672213087062119e-07, 1.169529362243793e-08, 1.7538743790623812e-08, 2.4999494030453207e-08, 3.368193901565064e-08, 4.568457967479844e-08, 5.220360321800399e-08]"
32,46,"[0, 9.895719585983898e-07, 4.339388397056609e-06, 4.3541313061723486e-06, 4.3630516302073374e-06, 4.387274202599656e-06, 4.418264325067867e-06, 4.45141540694749e-06, 4.481884388951585e-06, 4.510745839070296e-06, 4.54410246675252e-06]"
32,47,"[0, 1.32819610865198e-09, 7.009684832581797e-09, 1.6778555433916154e-08, 3.045842689175515e-08, 6.618270020908312e-08, 8.944784468667422e-08, 1.0576756181990277e-07, 1.2773016067058052e-07, 2.504222891275276e-07, 5.369991413317621e-06]"
32,48,"[0, 3.781385482515276e-10, 2.0074264472924597e-09, 4.588311952602453e-09, 6.1998339795366064e-09, 7.140645852388161e-09, 1.2507054059085476e-08, 1.5432901179224245e-08, 1.83060073766228e-08, 2.74052922577539e-07, 2.811341630604147e-07]"
32,49,"[0, 1.5672479980466392e-09, 5.501801751961466e-06, 7.127082881197566e-06, 7.157152140280232e-06, 2.0974814560759114e-06, 2.1299852051015478e-06, 2.1602197648462607e-06, 2.1808300516568124e-06, 2.2153942609293154e-06, 2.2499139049614314e-06]"
64,0,"[0, 7.274194580020321e-10, 3.748702681605209e-09, 5.77240598431672e-07, 1.2478818689487525e-06, 1.903631527966354e-06, 1.9197320852981647e-06, 1.9316230464028195e-06, 1.9731689917534823e-06, 2.3308118670684053e-06, 2.348565203647013e-06]"
64,1,"[0, 2.579553282089364e-08, 5.300693715071247e-07, 7.918614528534818e-07, 8.577358130423818e-07, 9.09647553726245e-07, 9.256114026356954e-07, 9.35327761908411e-07, 9.516823524791107e-07, 9.682084964879323e-07, 1.497936068517447e-06]"
64,2,"[0, 1.1648267905783882e-09, 4.592886071463909e-09, 1.3526160635990436e-08, 1.1274149755990948e-06, 1.1390390000087791e-06, 1.1504637313919375e-06, 2.005148189709871e-06, 2.0254506125638727e-06, 2.0600145944627e-06, 2.0822417354793288e-06]"
