hidden_dim,iteration,losses,borne_finie,borne_infinie
10,0,"[612.2611694335938, 604.8887939453125, 597.1624755859375, 589.140625, 580.7529907226562, 571.9104614257812, 562.5512084960938, 552.609130859375, 542.1236572265625, 531.0653686523438, 519.481201171875, 507.2578430175781, 494.4043273925781, 481.06231689453125, 467.2596740722656, 453.0716552734375, 438.6681213378906, 424.1664733886719, 409.68121337890625, 395.3418884277344, 381.2568664550781, 367.5042724609375, 354.2296447753906, 341.5619812011719, 329.5728759765625, 318.31048583984375, 307.8135986328125, 298.0682373046875, 289.08111572265625, 280.7947998046875, 273.2104797363281, 266.2781066894531, 259.92327880859375, 254.07310485839844, 248.68142700195312, 243.65724182128906, 238.9663543701172, 234.5521697998047, 230.37179565429688, 226.37728881835938, 222.52818298339844, 218.78927612304688, 215.15582275390625, 211.60951232910156, 208.13223266601562, 204.70761108398438, 201.31805419921875, 197.93572998046875, 194.52462768554688, 191.02813720703125, 187.53213500976562]","[612.2611694335938, 612.2653789092994, 612.2745629107412, 612.2667462355872, 612.2700440820983, 612.2847275987186, 612.2846474607169, 612.287534603572, 612.3186261366559, 612.2838984177675, 612.3112021137489, 612.3373320729613, 612.2918713934231, 612.3076503818455, 612.4994380483729, 612.6912866511196, 612.3365352196856, 612.337816012235, 612.2923306811501, 612.355561535257, 612.320129219758, 612.2818606292894, 612.3031679148222, 612.2871349579148, 612.297943440263, 612.3145414258084, 612.3332809405024, 612.3656563234625, 612.3232472630347, 612.3364862449781, 612.2929709896509, 612.3581274952154, 612.3990224538998, 612.6122773453654, 612.4376922042477, 613.548656248579, 613.6301721447054, 613.290419324436, 613.1606733260738, 612.3097742603305, 612.4604981436087, 612.410936499961, 612.6228251273615, 612.8804024486531, 612.6455732432721, 612.576558581169, 613.6905417232412, 613.2268387410976, 613.5509822491009, 613.4416687497744, 615.0366337801714]","[612.2611694335938, 612.2685789585694, 612.2759885732142, 612.2833982775296, 612.2908080715165, 612.2982179551761, 612.3056279285094, 612.3130379915173, 612.3204481442011, 612.327858386562, 612.3352687186008, 612.3426791403186, 612.3500896517168, 612.3575002527961, 612.3649109435579, 612.3723217240032, 612.379732594133, 612.3871435539484, 612.3945546034505, 612.4019657426404, 612.4093769715192, 612.4167882900879, 612.4241996983478, 612.4316111962999, 612.439022783945, 612.4464344612845, 612.4538462283193, 612.4612580850509, 612.4686700314797, 612.4760820676074, 612.4834941934347, 612.4909064089628, 612.4983187141929, 612.5057311091259, 612.5131435937632, 612.5205561681055, 612.527968832154, 612.53538158591, 612.5427944293743, 612.5502073625481, 612.5576203854326, 612.5650334980287, 612.5724467003375, 612.5798599923603, 612.587273374098, 612.5946868455516, 612.6021004067225, 612.6095140576115, 612.6169277982198, 612.6243416285484, 612.6317555485984]"
10,1,"[668.0165405273438, 660.8429565429688, 654.25, 648.1218872070312, 642.35888671875, 636.8859252929688, 631.6259155273438, 626.5099487304688, 621.4739990234375, 616.4611206054688, 611.4246215820312, 606.3163452148438, 601.0941162109375, 595.6939086914062, 590.063720703125, 584.1541137695312, 577.927490234375, 571.3281860351562, 564.3075561523438, 556.8204956054688, 548.8353271484375, 540.310791015625, 531.2138671875, 521.4938354492188, 511.1395263671875, 500.1396484375, 488.4854431152344, 476.1993713378906, 463.3018798828125, 449.8294982910156, 435.85223388671875, 421.4403076171875, 406.6849670410156, 391.68865966796875, 376.5615539550781, 361.4058837890625, 346.3721923828125, 331.5825500488281, 317.17169189453125, 303.25714111328125, 289.8649597167969, 276.827880859375, 264.4693603515625, 252.7975616455078, 241.86961364746094, 231.6758575439453, 222.19097900390625, 213.39364624023438, 205.23558044433594, 197.65585327148438, 190.60671997070312]","[668.0165405273438, 667.9550741185799, 667.9149910728987, 667.850979808428, 667.8308758601152, 667.8595836444907, 667.9332521014312, 667.736860582253, 667.7379280568346, 667.8133563022118, 667.9524368329763, 667.8975671441337, 667.8559734992425, 667.6040018411697, 667.7855301692988, 667.7315161769229, 667.7989574847688, 667.8118312323813, 667.7667673799529, 667.7036595476076, 667.7278113458481, 667.631582875216, 667.4600997048952, 667.5149957819912, 667.8159068132876, 667.9853878029159, 668.0245316443823, 667.4204008684974, 667.3280428130101, 666.6753920506122, 666.1482882327925, 665.7092847844073, 665.7283084348054, 663.7795024905863, 663.3650145314126, 663.1518186550101, 661.6691652620659, 660.260057365109, 659.6029331390747, 659.7214513005615, 663.262953979171, 662.7474337198034, 662.2846958600343, 661.6898767590686, 661.0832255700691, 656.254557398755, 654.0231203839153, 652.8055132500738, 662.5892733580972, 662.4275082092033, 661.3700004611584]","[668.0165405273438, 667.846132490351, 667.6757679236877, 667.5054468162646, 667.3351691569956, 667.1649349347973, 666.9947441385891, 666.8245967572931, 666.6544927798343, 666.4844321951408, 666.3144149921432, 666.1444411597749, 665.9745106869725, 665.8046235626749, 665.6347797758243, 665.4649793153654, 665.2952221702458, 665.1255083294161, 664.9558377818295, 664.7862105164419, 664.6166265222124, 664.4470857881028, 664.2775883030774, 664.1081340561037, 663.9387230361519, 663.7693552321948, 663.6000306332085, 663.4307492281713, 663.2615110060648, 663.092315955873, 662.9231640665832, 662.7540553271853, 662.5849897266716, 662.4159672540378, 662.2469878982822, 662.0780516484058, 661.9091584934123, 661.7403084223088, 661.5715014241046, 661.4027374878118, 661.2340166024458, 661.0653387570243, 660.896703940568, 660.7281121421006, 660.5595633506482, 660.3910575552401, 660.222594744908, 660.0541749086866, 659.8857980356136, 659.7174641147291, 659.5491731350762]"
10,2,"[629.7611083984375, 624.27001953125, 618.9714965820312, 613.7722778320312, 608.6202392578125, 603.409423828125, 598.0975341796875, 592.6314086914062, 586.9406127929688, 580.9832153320312, 574.713623046875, 568.078369140625, 561.0123291015625, 553.47705078125, 545.4176025390625, 536.802978515625, 527.5892944335938, 517.7322998046875, 507.2002258300781, 495.9598388671875, 484.0383605957031, 471.4512023925781, 458.2213134765625, 444.3704833984375, 429.9688415527344, 415.0697021484375, 399.8071594238281, 384.29669189453125, 368.6601867675781, 353.0127868652344, 337.3790283203125, 322.01519775390625, 307.0448913574219, 292.5826416015625, 278.74627685546875, 265.6060485839844, 253.23870849609375, 241.67147827148438, 230.91497802734375, 220.95591735839844, 211.76596069335938, 203.30120849609375, 195.5073699951172, 188.3173370361328, 181.65806579589844, 175.48460388183594, 169.74395751953125, 164.38441467285156, 159.36155700683594, 154.6334228515625, 150.148193359375]","[629.7611083984375, 629.765046802285, 629.7647192856242, 629.765244670597, 629.7626007269452, 629.7663924828416, 629.7698322754062, 629.7695013395282, 629.7813165239575, 629.7754063562494, 629.7703196598814, 629.7692873454924, 629.7482481225675, 629.7792324014486, 629.8258823856338, 629.826661752031, 629.8054022205068, 629.7799284402839, 629.795425781381, 629.7899176026151, 629.7823213383853, 629.6487012003316, 629.765882749392, 629.7935902512381, 629.8021850277255, 629.8216871889496, 629.6213832447985, 629.7340696054318, 629.7120341295068, 629.7796226371796, 630.0256619528566, 629.6205356951906, 629.9143283402265, 630.0045112653562, 629.8649857611638, 629.5647749022768, 629.679327905905, 629.6746868020567, 630.015515642467, 629.8314455383728, 629.7048782068795, 629.7631265188191, 630.1906690958815, 630.6411038065346, 630.2661489594274, 629.9866208765701, 630.4149826492679, 629.832321686837, 629.7900139627544, 629.514730682779, 630.1437227701803]","[629.7611083984375, 629.7614771598685, 629.7618459215154, 629.7622146833784, 629.7625834454572, 629.7629522077519, 629.7633209702626, 629.7636897329893, 629.7640584959317, 629.7644272590903, 629.7647960224646, 629.7651647860549, 629.7655335498612, 629.7659023138835, 629.7662710781216, 629.7666398425756, 629.7670086072457, 629.7673773721316, 629.7677461372335, 629.7681149025512, 629.7684836680851, 629.7688524338347, 629.7692211998003, 629.7695899659818, 629.7699587323793, 629.7703274989927, 629.7706962658222, 629.7710650328673, 629.7714338001285, 629.7718025676057, 629.7721713352988, 629.7725401032078, 629.7729088713328, 629.7732776396736, 629.7736464082304, 629.7740151770032, 629.7743839459919, 629.7747527151964, 629.7751214846171, 629.7754902542534, 629.7758590241059, 629.7762277941742, 629.7765965644586, 629.7769653349588, 629.777334105675, 629.7777028766071, 629.7780716477553, 629.7784404191192, 629.7788091906991, 629.779177962495, 629.7795467345068]"
10,3,"[609.1031494140625, 604.4051513671875, 599.646728515625, 594.805908203125, 589.8272094726562, 584.6394653320312, 579.234130859375, 573.5880737304688, 567.6173706054688, 561.2339477539062, 554.4091796875, 547.1494750976562, 539.4168090820312, 531.1204833984375, 522.287353515625, 512.8779296875, 502.8663024902344, 492.25140380859375, 480.95465087890625, 469.1184387207031, 456.8187255859375, 444.112060546875, 431.04522705078125, 417.6551208496094, 404.0397644042969, 390.34039306640625, 376.61663818359375, 363.005126953125, 349.6278076171875, 336.5687255859375, 323.9102478027344, 311.7416076660156, 300.0971374511719, 289.0204772949219, 278.580810546875, 268.7782897949219, 259.57574462890625, 250.94117736816406, 242.82559204101562, 235.1791229248047, 228.00033569335938, 221.1938934326172, 214.74847412109375, 208.60154724121094, 202.73992919921875, 197.12051391601562, 191.7156219482422, 186.4945068359375, 181.42921447753906, 176.52308654785156, 171.7236328125]","[609.1031494140625, 609.1037353955691, 609.1094520885666, 609.1027630623981, 609.1019360215041, 608.9348507911284, 608.6735443141617, 608.4168276207929, 608.4316141330014, 608.6278248049772, 608.4763088078975, 608.3990022841024, 608.915409230753, 609.0406335276106, 609.0239264676816, 609.1062626725009, 609.1012774943468, 609.0946369937884, 609.1252464341179, 609.0984128112849, 609.1106184867707, 609.1020578248529, 609.0992660131803, 609.1145735817196, 609.1104080561329, 609.1286782283408, 609.2022310517003, 609.4338340114023, 609.2503925668764, 609.6402000279212, 609.6166273730839, 609.950839187811, 609.6088821960352, 609.4246161468184, 610.0384926245191, 610.804634482634, 611.1330597051925, 610.1872318077728, 610.3987546467798, 610.0761300604635, 613.572332081158, 612.3376453035405, 610.6195370346613, 610.9456017403489, 610.618217871921, 611.320045540801, 611.7914327820537, 612.4891703130434, 613.4935724207509, 613.3222788556047, 612.2957927807144]","[609.1031494140625, 609.104792270866, 609.1064351321006, 609.1080779977663, 609.1097208678632, 609.111363742391, 609.11300662135, 609.1146495047401, 609.1162923925614, 609.1179352848138, 609.1195781814974, 609.1212210826122, 609.1228639881582, 609.1245068981353, 609.1261498125436, 609.1277927313832, 609.1294356546542, 609.1310785823562, 609.1327215144895, 609.1343644510542, 609.13600739205, 609.1376503374772, 609.1392932873358, 609.1409362416256, 609.1425792003467, 609.1442221634993, 609.1458651310832, 609.1475081030984, 609.149151079545, 609.150794060423, 609.1524370457324, 609.1540800354733, 609.1557230296455, 609.1573660282492, 609.1590090312842, 609.1606520387509, 609.162295050649, 609.1639380669785, 609.1655810877396, 609.1672241129322, 609.1688671425562, 609.170510176612, 609.1721532150992, 609.1737962580179, 609.1754393053683, 609.1770823571502, 609.1787254133637, 609.1803684740088, 609.1820115390855, 609.1836546085939, 609.1852976825338]"
10,4,"[601.9785766601562, 598.311767578125, 594.4977416992188, 590.5218505859375, 586.34912109375, 581.9361572265625, 577.2239379882812, 572.2108764648438, 566.8765258789062, 561.1766967773438, 555.095947265625, 548.5718383789062, 541.5772094726562, 534.0890502929688, 526.081787109375, 517.4740600585938, 508.29278564453125, 498.49688720703125, 488.01141357421875, 476.8163757324219, 464.9928894042969, 452.55523681640625, 439.5859375, 426.0903015136719, 412.0335998535156, 397.6453857421875, 383.0546569824219, 368.3583679199219, 353.721923828125, 339.2275695800781, 324.9999084472656, 311.14483642578125, 297.7433166503906, 284.9208068847656, 272.7525329589844, 261.2729187011719, 250.4962158203125, 240.41754150390625, 231.00746154785156, 222.22874450683594, 214.0480499267578, 206.44677734375, 199.36419677734375, 192.75892639160156, 186.5887451171875, 180.81419372558594, 175.38832092285156, 170.2560577392578, 165.36595153808594, 160.72215270996094, 156.29989624023438]","[601.9785766601562, 601.9700280349289, 601.9628895235018, 601.9634279696099, 601.9705804982145, 601.9625132994234, 601.9569467303515, 601.9616843258996, 601.9546941484441, 601.9493562536517, 601.6956387964474, 601.3159182872683, 601.0851000759068, 601.4978364955655, 601.5368907935633, 601.0746030399147, 601.7932221227314, 601.7127808381047, 601.4860572600618, 601.9371053497572, 601.94642881355, 602.0568549794457, 602.0070676183059, 601.9898578953575, 602.0746095795271, 602.0226106318186, 602.4648421567986, 602.4781364025004, 602.267347138083, 602.4762623593184, 602.3469953981654, 602.3653386297027, 602.6510457229743, 603.6144055859501, 602.8160706729433, 602.4279786825929, 603.2229454350738, 602.934183512063, 603.9229139231965, 605.0137248793951, 604.1013242525961, 604.8907435320508, 604.3124348360421, 605.7767907253501, 606.5828931017473, 604.4197336966209, 606.6382143045543, 603.543701532074, 604.2704346347339, 605.6067058912842, 607.1604904501411]","[601.9785766601562, 601.9731669570328, 601.967757302524, 601.9623476966292, 601.9569381393479, 601.95152863068, 601.9461191706247, 601.9407097591817, 601.9353003963506, 601.929891082131, 601.9244818165223, 601.9190725995244, 601.9136634311365, 601.9082543113582, 601.9028452401892, 601.8974362176291, 601.8920272436774, 601.8866183183335, 601.8812094415972, 601.875800613468, 601.8703918339454, 601.864983103029, 601.8595744207183, 601.8541657870131, 601.8487572019127, 601.8433486654167, 601.8379401775248, 601.8325317382364, 601.8271233475512, 601.8217150054687, 601.8163067119884, 601.8108984671101, 601.805490270833, 601.8000821231569, 601.7946740240815, 601.789265973606, 601.7838579717303, 601.7784500184537, 601.7730421137759, 601.7676342576964, 601.7622264502148, 601.7568186913307, 601.7514109810436, 601.7460033193531, 601.7405957062589, 601.7351881417602, 601.729780625857, 601.7243731585485, 601.7189657398344, 601.7135583697143, 601.7081510481877]"
10,5,"[617.6629638671875, 612.806396484375, 607.9307250976562, 602.9992065429688, 597.8428344726562, 592.3313598632812, 586.617431640625, 580.5565795898438, 574.0748901367188, 567.1884155273438, 559.8764038085938, 552.0941772460938, 543.811279296875, 534.9784545898438, 525.5440673828125, 515.4882202148438, 504.7503662109375, 493.3281555175781, 481.21990966796875, 468.44757080078125, 454.9920654296875, 440.88726806640625, 426.1206970214844, 410.8330383300781, 395.1644592285156, 379.2237548828125, 363.1369934082031, 347.0126037597656, 331.0238342285156, 315.3050537109375, 299.9955749511719, 285.2779235839844, 271.24749755859375, 258.00372314453125, 245.56980895996094, 234.00161743164062, 223.30740356445312, 213.49261474609375, 204.51498413085938, 196.31578063964844, 188.8203582763672, 181.94383239746094, 175.61788940429688, 169.71844482421875, 164.2401123046875, 159.12313842773438, 154.314453125, 149.77145385742188, 145.45303344726562, 141.3187255859375, 137.35992431640625]","[617.6629638671875, 617.6641762143367, 617.6632855048362, 617.6649967063528, 617.6664995913025, 617.6617577047632, 617.6652774608388, 617.6625755908977, 617.6670913157333, 617.6558390485851, 617.6636447570634, 617.6589748815283, 617.6758916619805, 617.669565311044, 617.6972152866679, 617.6665241061576, 617.682144424597, 617.6759208021974, 617.6862514080575, 617.7107429517604, 617.742001493683, 617.761765454703, 617.7173467838403, 617.7578032791778, 617.7553008898718, 617.7536038040231, 617.8386783673118, 617.8493445780994, 617.840362261423, 617.9408332894858, 617.8905465712377, 617.980686935145, 618.0725939958538, 617.9475498502998, 617.9311442646793, 617.9784224785404, 618.0404330561773, 617.898291755129, 618.2727316702648, 618.1903822434738, 617.8867080033217, 617.9444543591145, 618.2910683960225, 618.3504658348123, 619.0829693014975, 618.1666649324972, 618.3829269276617, 618.5543201159434, 618.5715916872401, 618.4560749420248, 618.4347155241571]","[617.6629638671875, 617.6624530589991, 617.6619422512332, 617.6614314438897, 617.6609206369686, 617.66040983047, 617.6598990243938, 617.65938821874, 617.6588774135088, 617.6583666086999, 617.6578558043134, 617.6573450003494, 617.6568341968078, 617.6563233936887, 617.655812590992, 617.6553017887177, 617.6547909868659, 617.6542801854365, 617.6537693844296, 617.653258583845, 617.6527477836829, 617.6522369839432, 617.651726184626, 617.6512153857312, 617.6507045872588, 617.6501937892089, 617.6496829915815, 617.6491721943763, 617.6486613975937, 617.6481506012334, 617.6476398052956, 617.6471290097803, 617.6466182146874, 617.6461074200168, 617.6455966257688, 617.6450858319432, 617.64457503854, 617.6440642455592, 617.6435534530008, 617.6430426608648, 617.6425318691513, 617.6420210778602, 617.6415102869915, 617.6409994965453, 617.6404887065215, 617.6399779169202, 617.6394671277411, 617.6389563389846, 617.6384455506505, 617.6379347627388, 617.6374239752496]"
10,6,"[616.9280395507812, 612.9849853515625, 608.9712524414062, 604.857177734375, 600.602294921875, 596.1548461914062, 591.4666137695312, 586.5099487304688, 581.21630859375, 575.5526733398438, 569.4304809570312, 562.7819213867188, 555.6243286132812, 547.8853759765625, 539.5128173828125, 530.4773559570312, 520.814208984375, 510.4589538574219, 499.32977294921875, 487.5630187988281, 475.1016845703125, 462.0530090332031, 448.50140380859375, 434.5333557128906, 420.2455749511719, 405.7303771972656, 391.1123962402344, 376.49627685546875, 362.0187072753906, 347.84356689453125, 334.0687561035156, 320.7684631347656, 308.0785217285156, 296.0737609863281, 284.8106689453125, 274.2919006347656, 264.5092468261719, 255.42318725585938, 247.0180206298828, 239.2344207763672, 232.00469970703125, 225.27317810058594, 218.97340393066406, 213.05076599121094, 207.44944763183594, 202.11878967285156, 197.01222229003906, 192.07958984375, 187.27578735351562, 182.59255981445312, 178.0043182373047]","[616.9280395507812, 616.9278933805351, 616.9266169579188, 616.9292055779435, 616.8834648891453, 616.7960427710805, 616.5997551404404, 616.6515429726817, 616.7120929912809, 616.8698718343098, 616.9390946449209, 616.9469909632712, 616.9868529619431, 616.9427068346912, 616.8919962659045, 616.9537055388508, 616.9989756182616, 617.0075102370056, 617.1665485301271, 617.1193910235168, 617.0133384965224, 617.5414988739296, 617.3142005954086, 617.216968816066, 617.1997165675048, 617.6487074618077, 617.2528089412372, 617.6865121172857, 617.956367294176, 617.7664698829615, 618.6621944641004, 617.7897535931779, 617.5491206088694, 617.682050046935, 618.9910718344597, 618.9161389544439, 619.5635912784053, 617.9456309455245, 618.765706717215, 621.7971554407001, 619.9902021537906, 620.1438538842764, 621.1060954545711, 620.7526904115749, 617.9270947254779, 619.1023803458662, 619.1683635517488, 618.5452874434727, 620.5239886105833, 622.6600451802783, 621.0589310365763]","[616.9280395507812, 616.9282477739615, 616.9284559972119, 616.9286642205327, 616.9288724439236, 616.9290806673849, 616.9292888909166, 616.9294971145183, 616.9297053381905, 616.929913561933, 616.9301217857457, 616.9303300096286, 616.9305382335818, 616.9307464576054, 616.9309546816992, 616.9311629058633, 616.9313711300977, 616.9315793544023, 616.9317875787772, 616.9319958032223, 616.932204027738, 616.9324122523236, 616.9326204769797, 616.9328287017061, 616.9330369265025, 616.9332451513695, 616.9334533763066, 616.933661601314, 616.9338698263917, 616.9340780515398, 616.9342862767579, 616.9344945020465, 616.9347027274054, 616.9349109528346, 616.9351191783339, 616.9353274039034, 616.9355356295434, 616.9357438552537, 616.9359520810342, 616.936160306885, 616.9363685328061, 616.9365767587975, 616.9367849848591, 616.936993210991, 616.9372014371932, 616.9374096634657, 616.9376178898084, 616.9378261162213, 616.9380343427047, 616.9382425692583, 616.9384507958822]"
10,7,"[617.5630493164062, 613.860107421875, 609.8457641601562, 605.5945434570312, 601.1005859375, 596.3162231445312, 591.2349243164062, 585.8064575195312, 580.0028686523438, 573.7931518554688, 567.1403198242188, 560.0154418945312, 552.3909301757812, 544.2301025390625, 535.5154418945312, 526.2359619140625, 516.335205078125, 505.7577819824219, 494.6060791015625, 482.8993225097656, 470.651611328125, 457.9375305175781, 444.8244934082031, 431.4012451171875, 417.7740173339844, 404.0473327636719, 390.2695007324219, 376.6378479003906, 363.275634765625, 350.2940979003906, 337.778564453125, 325.8256530761719, 314.5158386230469, 303.8926086425781, 293.9734191894531, 284.7641906738281, 276.1959533691406, 267.9736633300781, 260.1768798828125, 252.4966583251953, 245.3090057373047, 238.56683349609375, 232.22706604003906, 226.24356079101562, 220.54061889648438, 214.96714782714844, 209.6108856201172, 204.43946838378906, 199.42991638183594, 194.58912658691406, 189.88909912109375]","[617.5630493164062, 617.5570373916804, 617.5530703835345, 617.5418004097418, 617.5474304553148, 617.5436056196193, 617.5341782956127, 617.5385806549526, 617.5552518774189, 617.55531457308, 617.5262346260597, 617.5402235055361, 617.54867164244, 617.6176934693154, 617.5238766555817, 617.5230472048177, 617.5249991397014, 617.4815184863942, 617.5077648761313, 617.5787029507094, 617.6841997143507, 617.6050932193439, 617.7454056475189, 617.4909023096504, 617.7094393877865, 617.5956177721953, 617.647625729542, 617.5760841870689, 617.5039702649201, 617.6082640223129, 617.4982251614548, 617.4083848888388, 617.0990979315577, 617.5278920385327, 617.7856878401221, 617.4799483404736, 617.1366131457041, 617.7007778593626, 617.567842222457, 618.2177441090877, 617.119304047441, 617.492111137581, 616.9577041532094, 616.5588215883381, 616.3907103229067, 616.3085680672135, 617.9041298522809, 616.9858816174544, 621.352370943657, 619.1137712397222, 617.002923264818]","[617.5630493164062, 617.5579376894237, 617.5528261047507, 617.5477145623867, 617.5426030623313, 617.5374916045844, 617.5323801891454, 617.5272688160142, 617.5221574851902, 617.5170461966732, 617.5119349504628, 617.5068237465587, 617.5017125849604, 617.4966014656678, 617.4914903886803, 617.4863793539977, 617.4812683616196, 617.4761574115457, 617.4710465037757, 617.465935638309, 617.4608248151455, 617.4557140342847, 617.4506032957264, 617.4454925994701, 617.4403819455155, 617.4352713338623, 617.43016076451, 617.4250502374584, 617.4199397527073, 617.414829310256, 617.4097189101043, 617.4046085522518, 617.3994982366983, 617.3943879634434, 617.3892777324866, 617.3841675438276, 617.3790573974663, 617.3739472934021, 617.3688372316346, 617.3637272121638, 617.3586172349889, 617.3535073001098, 617.3483974075261, 617.3432875572374, 617.3381777492435, 617.333067983544, 617.3279582601384, 617.3228485790265, 617.317738940208, 617.3126293436823, 617.3075197894492]"
10,8,"[614.9007568359375, 608.5742797851562, 602.2013549804688, 595.6970825195312, 589.0226440429688, 582.1016845703125, 574.8492431640625, 567.2252197265625, 559.1322021484375, 550.5711059570312, 541.4425659179688, 531.82568359375, 521.6810913085938, 510.93304443359375, 499.6242980957031, 487.80889892578125, 475.5513916015625, 462.9024963378906, 449.94281005859375, 436.75128173828125, 423.4271545410156, 410.0860900878906, 396.82440185546875, 383.7554016113281, 370.97296142578125, 358.5955810546875, 346.722412109375, 335.4538269042969, 324.8251647949219, 314.8704833984375, 305.6156921386719, 296.9726867675781, 288.6824951171875, 281.0107727050781, 273.88525390625, 267.3003234863281, 261.1963806152344, 255.52589416503906, 250.22483825683594, 245.24851989746094, 240.53375244140625, 236.05274963378906, 231.75811767578125, 227.61398315429688, 223.60205078125, 219.69607543945312, 215.8650360107422, 212.0966796875, 208.37701416015625, 204.6994171142578, 201.05294799804688]","[614.9007568359375, 614.9007366416166, 614.9012852301205, 614.8994123916733, 614.8888282648419, 614.9082903083921, 614.9148021793656, 614.8871773956745, 614.9203036590594, 614.8919214440327, 614.9025752929608, 614.9180485909878, 614.9692306685824, 614.9872861056232, 614.9046980144774, 614.9004162017596, 614.8987264552472, 614.9426952587935, 614.9060603160868, 615.1545794318414, 614.9522506897741, 615.2294124019844, 614.8964414559209, 614.9068853366603, 615.5376917534536, 615.0046801942603, 615.6504831903854, 615.1003778008658, 614.8840057541241, 615.2251595595093, 614.9409397980022, 615.4604259872922, 615.0894651002158, 615.6781034989493, 615.3858595074814, 615.3607714297718, 615.2510853157282, 615.4631859620075, 615.1901404538916, 616.9983880492846, 615.7236846952325, 614.9010311859453, 617.8868179927975, 615.0424440139429, 617.9218454775257, 617.5849204275834, 616.1839750455089, 615.0793930333386, 616.2848005244122, 615.4049854221803, 617.1573310634434]","[614.9007568359375, 614.9001998905461, 614.8996429456591, 614.8990860012767, 614.8985290573986, 614.897972114025, 614.8974151711559, 614.8968582287912, 614.8963012869309, 614.8957443455752, 614.8951874047239, 614.8946304643769, 614.8940735245344, 614.8935165851964, 614.8929596463629, 614.8924027080337, 614.8918457702091, 614.8912888328889, 614.8907318960731, 614.8901749597618, 614.8896180239549, 614.8890610886525, 614.8885041538545, 614.8879472195609, 614.8873902857719, 614.8868333524872, 614.886276419707, 614.8857194874312, 614.8851625556598, 614.8846056243929, 614.8840486936305, 614.8834917633724, 614.8829348336188, 614.8823779043697, 614.881820975625, 614.8812640473847, 614.8807071196488, 614.8801501924174, 614.8795932656905, 614.8790363394679, 614.8784794137498, 614.8779224885362, 614.877365563827, 614.8768086396221, 614.8762517159219, 614.8756947927259, 614.8751378700345, 614.8745809478473, 614.8740240261648, 614.8734671049865, 614.8729101843128]"
10,9,"[681.922607421875, 669.9922485351562, 659.2499389648438, 649.43798828125, 640.3576049804688, 631.8193969726562, 623.7716064453125, 615.995361328125, 608.3677978515625, 600.79541015625, 593.15234375, 585.3802490234375, 577.4572143554688, 569.335693359375, 560.8941650390625, 552.136474609375, 542.9315185546875, 533.2333984375, 523.0081787109375, 512.2116088867188, 500.8852844238281, 489.0655212402344, 476.72344970703125, 463.8883972167969, 450.6434326171875, 437.0500793457031, 423.17144775390625, 409.1102294921875, 394.94183349609375, 380.74871826171875, 366.31085205078125, 352.1079406738281, 338.2799987792969, 324.82891845703125, 311.9415283203125, 299.414794921875, 287.1957702636719, 275.6627197265625, 264.84307861328125, 254.73324584960938, 245.31317138671875, 236.52928161621094, 228.34689331054688, 220.7154541015625, 213.58233642578125, 206.89321899414062, 200.59698486328125, 194.64572143554688, 188.99684143066406, 183.61410522460938, 178.4491729736328]","[681.922607421875, 681.9239224357385, 681.927345197961, 681.9254073245601, 681.9349278756968, 681.9299773173833, 681.9240443279739, 681.9300356765935, 681.923104007794, 681.9292826399302, 681.9265579782927, 681.314721104969, 681.382173230972, 681.6106714888837, 681.651950674279, 681.6077815979932, 681.3024745491583, 681.2950050509444, 681.6734815672635, 681.4050761238949, 681.7707709920833, 681.145868386097, 681.4603237998547, 681.6480961407011, 681.6405402165904, 681.7244675369133, 681.7237111219681, 682.007502755277, 682.1610074975041, 681.7872725793407, 681.9040901711771, 681.7629897862158, 682.1467293509417, 681.9756137878446, 681.8185793119002, 683.1311136180509, 681.8490642057023, 682.3339390245479, 682.1689117532951, 682.607927420368, 681.7610212786141, 681.4576853883138, 681.7930363125131, 681.9667591542664, 681.6024794493055, 681.9231228618462, 683.6882284853747, 683.9263676704629, 683.0702505588279, 683.1915916455719, 684.1434495517384]","[681.922607421875, 681.9252785960772, 681.9279497807428, 681.9306209758715, 681.9332921814639, 681.9359633975197, 681.938634624039, 681.9413058610215, 681.943977108468, 681.9466483663778, 681.9493196347513, 681.9519909135885, 681.9546622028894, 681.9573335026541, 681.9600048128826, 681.9626761335751, 681.9653474647313, 681.9680188063516, 681.9706901584357, 681.9733615209838, 681.976032893996, 681.9787042774725, 681.9813756714128, 681.9840470758176, 681.9867184906864, 681.9893899160195, 681.9920613518168, 681.9947327980786, 681.9974042548048, 682.0000757219952, 682.0027471996503, 682.0054186877697, 682.0080901863539, 682.0107616954026, 682.0134332149158, 682.0161047448937, 682.0187762853363, 682.0214478362439, 682.024119397616, 682.026790969453, 682.0294625517549, 682.0321341445218, 682.0348057477536, 682.0374773614503, 682.0401489856122, 682.042820620239, 682.0454922653311, 682.0481639208882, 682.0508355869106, 682.0535072633983, 682.0561789503511]"
